contrast,estimate,SE,df,t.ratio,p.value,genotype,sex
noShock dgrp321 - shock dgrp321,0.054477926,0.027915628,4915.638971,1.951520723,1,dgrp321,NA
noShock dgrp338 - shock dgrp338,0.033063268,0.027201796,4911.985981,1.215481075,1,dgrp338,NA
noShock dgrp354 - shock dgrp354,0.031390712,0.029896735,3925.299822,1.04997123,1,dgrp354,NA
noShock dgrp362 - shock dgrp362,0.209156825,0.029236615,4933.612758,7.153934284,2.09966641850912e-08,dgrp362,NA
noShock dgrp373 - shock dgrp373,0.001017267,0.027463869,4918.558665,0.037040211,1,dgrp373,NA
noShock dgrp380 - shock dgrp380,0.001495116,0.028299743,4902.706904,0.05283145,1,dgrp380,NA
noShock dgrp382 - shock dgrp382,0.066076916,0.02789234,4924.231016,2.368998707,0.999999789,dgrp382,NA
noShock dgrp385 - shock dgrp385,2.06420688861388e-05,0.027754595,4903.410214,0.000743735,1,dgrp385,NA
noShock dgrp386 - shock dgrp386,0.021771056,0.027447452,4909.679682,0.793190416,1,dgrp386,NA
noShock dgrp390 - shock dgrp390,-0.003209602,0.028148326,4907.665858,-0.114024601,1,dgrp390,NA
noShock dgrp391 - shock dgrp391,0.018335693,0.029231773,4605.714546,0.627252186,1,dgrp391,NA
noShock dgrp392 - shock dgrp392,0.030741948,0.027260345,4901.452971,1.127716779,1,dgrp392,NA
noShock dgrp395 - shock dgrp395,0.124494967,0.028084149,4916.903149,4.432926515,0.07674155,dgrp395,NA
noShock dgrp405 - shock dgrp405,0.103242678,0.02769543,4858.541652,3.727787574,0.56347193,dgrp405,NA
noShock dgrp437 - shock dgrp437,0.001133725,0.027485253,4881.058153,0.041248471,1,dgrp437,NA
noShock dgrp440 - shock dgrp440,0.074690798,0.027698749,4918.895015,2.696540529,0.999822847,dgrp440,NA
noShock dgrp486 - shock dgrp486,0.122783,0.027684778,4918.811451,4.435036479,0.076141917,dgrp486,NA
noShock dgrp491 - shock dgrp491,0.033841139,0.027177302,4901.42487,1.245198607,1,dgrp491,NA
noShock dgrp502 - shock dgrp502,0.007891159,0.027092396,4894.908538,0.291268384,1,dgrp502,NA
noShock dgrp505 - shock dgrp505,0.011323747,0.027842368,4893.491218,0.406709198,1,dgrp505,NA
noShock dgrp517 - shock dgrp517,0.008850896,0.028684382,4929.225311,0.308561518,1,dgrp517,NA
noShock dgrp535 - shock dgrp535,0.112586295,0.027377432,4897.377279,4.112375992,0.22428093,dgrp535,NA
noShock dgrp551 - shock dgrp551,-0.050461595,0.027475979,4909.038463,-1.836571298,1,dgrp551,NA
noShock dgrp559 - shock dgrp559,-0.056014387,0.027449752,4918.718643,-2.040615382,1,dgrp559,NA
noShock dgrp563 - shock dgrp563,0.075005454,0.027755795,4850.683414,2.70233492,0.999805481,dgrp563,NA
noShock dgrp584 - shock dgrp584,0.016452727,0.027684717,4918.829467,0.594289163,1,dgrp584,NA
noShock dgrp59 - shock dgrp59,0.123065174,0.027477799,4909.749145,4.478712883,0.064601821,dgrp59,NA
noShock dgrp595 - shock dgrp595,0.050462657,0.027488608,4916.947877,1.835766206,1,dgrp595,NA
noShock dgrp627 - shock dgrp627,0.020274112,0.027753314,4848.209274,0.730511386,1,dgrp627,NA
noShock dgrp705 - shock dgrp705,0.080070238,0.028378571,4721.627303,2.821503544,0.998903828,dgrp705,NA
noShock dgrp712 - shock dgrp712,0.064295304,0.027124981,4899.713504,2.370335447,0.999999782,dgrp712,NA
noShock dgrp716 - shock dgrp716,0.014697028,0.027101724,4900.244486,0.542291254,1,dgrp716,NA
noShock dgrp721 - shock dgrp721,-0.001370847,0.027444965,4823.770167,-0.049948936,1,dgrp721,NA
noShock dgrp732 - shock dgrp732,0.039600244,0.027686209,4899.528934,1.430323831,1,dgrp732,NA
noShock dgrp737 - shock dgrp737,0.025543416,0.027742261,4903.585794,0.920740233,1,dgrp737,NA
noShock dgrp738 - shock dgrp738,0.030326265,0.027479247,4909.403297,1.103606139,1,dgrp738,NA
noShock dgrp75 - shock dgrp75,0.099395614,0.027488929,4878.733011,3.615841687,0.675761969,dgrp75,NA
noShock dgrp765 - shock dgrp765,-0.000244219,0.027694271,4907.730234,-0.008818378,1,dgrp765,NA
noShock dgrp776 - shock dgrp776,0.017479549,0.027447822,4909.464081,0.636828276,1,dgrp776,NA
noShock dgrp786 - shock dgrp786,0.053541453,0.027926852,4922.460877,1.917203324,1,dgrp786,NA
noShock dgrp787 - shock dgrp787,0.045560406,0.027465964,4909.018484,1.658795046,1,dgrp787,NA
noShock dgrp790 - shock dgrp790,-0.00575033,0.027707445,4902.168279,-0.20753738,1,dgrp790,NA
noShock dgrp801 - shock dgrp801,0.15052741,0.027479378,4822.739002,5.477831849,0.000610872,dgrp801,NA
noShock dgrp802 - shock dgrp802,0.048588009,0.027474865,4881.372779,1.768453034,1,dgrp802,NA
noShock dgrp804 - shock dgrp804,0.062465342,0.027392225,4905.009583,2.280404105,0.999999981,dgrp804,NA
noShock dgrp805 - shock dgrp805,0.046584443,0.027565611,4918.717164,1.689947764,1,dgrp805,NA
noShock dgrp808 - shock dgrp808,0.122677553,0.0274419,4917.201335,4.470446706,0.066662188,dgrp808,NA
noShock dgrp818 - shock dgrp818,0.075279947,0.028162305,4925.065845,2.673074773,0.999879162,dgrp818,NA
noShock dgrp820 - shock dgrp820,-0.04815104,0.027678593,4918.233446,-1.739649092,1,dgrp820,NA
noShock dgrp821 - shock dgrp821,0.114992103,0.027095583,4895.974088,4.243942734,0.148790137,dgrp821,NA
noShock dgrp822 - shock dgrp822,0.070315908,0.027455589,4881.029267,2.561078057,0.999983987,dgrp822,NA
noShock dgrp850 - shock dgrp850,0.001339293,0.027559489,4907.9399,0.048596447,1,dgrp850,NA
noShock dgrp853 - shock dgrp853,-0.018479432,0.027663297,4918.813893,-0.668012626,1,dgrp853,NA
noShock dgrp855 - shock dgrp855,0.057841328,0.027461946,4908.93426,2.10623561,1,dgrp855,NA
noShock dgrp859 - shock dgrp859,0.10376244,0.028376373,4928.387248,3.656649089,0.635423802,dgrp859,NA
noShock dgrp861 - shock dgrp861,0.082399112,0.027350886,4904.438673,3.012667041,0.990431769,dgrp861,NA
noShock dgrp879 - shock dgrp879,0.139737338,0.027736813,4919.465206,5.037973725,0.005753069,dgrp879,NA
noShock dgrp884 - shock dgrp884,0.025530581,0.027150006,4899.855578,0.940352661,1,dgrp884,NA
noShock dgrp892 - shock dgrp892,0.026054766,0.027578324,4909.436923,0.944755254,1,dgrp892,NA
noShock dgrp897 - shock dgrp897,0.086865786,0.028160185,4864.651354,3.084702299,0.981600075,dgrp897,NA
noShock dgrp91 - shock dgrp91,-0.074537348,0.027459015,4918.763225,-2.714494601,0.999764767,dgrp91,NA
noShock dgrp911 - shock dgrp911,-0.014551758,0.027459819,4910.902319,-0.529929136,1,dgrp911,NA
noShock dgrp913 - shock dgrp913,0.066518564,0.027669517,4917.681961,2.404037769,0.999999492,dgrp913,NA
noShock dgrp93 - shock dgrp93,0.07360682,0.027671974,4917.986774,2.659977222,0.999902958,dgrp93,NA
